n,k,i,fdr,tpr,fpr,shd,pred_size,F1_score,fdr_und,tpr_und,fpr_und,shd_und,pred_size,F1_score_und
1000,2,0,0.304347826,0.8,0.041176471,7,23,0.744186047,0.130434783,1,0.017647059,3,23,0.930232558
1000,2,1,0.304347826,0.8,0.041176471,7,23,0.744186047,0.130434783,1,0.017647059,3,23,0.930232558
1000,2,2,0.304347826,0.8,0.041176471,7,23,0.744186047,0.130434783,1,0.017647059,3,23,0.930232558
1000,2,3,0.304347826,0.8,0.041176471,7,23,0.744186047,0.130434783,1,0.017647059,3,23,0.930232558
1000,2,4,0.304347826,0.8,0.041176471,7,23,0.744186047,0.130434783,1,0.017647059,3,23,0.930232558
1000,2,5,0.304347826,0.8,0.041176471,7,23,0.744186047,0.130434783,1,0.017647059,3,23,0.930232558
1000,2,6,0.304347826,0.8,0.041176471,7,23,0.744186047,0.130434783,1,0.017647059,3,23,0.930232558
1000,2,7,0.304347826,0.8,0.041176471,7,23,0.744186047,0.130434783,1,0.017647059,3,23,0.930232558
1000,2,8,0.304347826,0.8,0.041176471,7,23,0.744186047,0.130434783,1,0.017647059,3,23,0.930232558
1000,2,9,0.304347826,0.8,0.041176471,7,23,0.744186047,0.130434783,1,0.017647059,3,23,0.930232558
1000,4,0,0.461538462,0.7,0.070588235,12,26,0.608695652,0.230769231,1,0.035294118,6,26,0.869565217
1000,4,1,0.461538462,0.7,0.070588235,12,26,0.608695652,0.230769231,1,0.035294118,6,26,0.869565217
1000,4,2,0.481481481,0.7,0.076470588,13,27,0.595744681,0.259259259,1,0.041176471,7,27,0.85106383
1000,4,3,0.481481481,0.7,0.076470588,13,27,0.595744681,0.259259259,1,0.041176471,7,27,0.85106383
1000,4,4,0.461538462,0.7,0.070588235,12,26,0.608695652,0.230769231,1,0.035294118,6,26,0.869565217
1000,4,5,0.461538462,0.7,0.070588235,12,26,0.608695652,0.230769231,1,0.035294118,6,26,0.869565217
1000,4,6,0.481481481,0.7,0.076470588,13,27,0.595744681,0.259259259,1,0.041176471,7,27,0.85106383
1000,4,7,0.461538462,0.7,0.070588235,12,26,0.608695652,0.230769231,1,0.035294118,6,26,0.869565217
1000,4,8,0.481481481,0.7,0.076470588,13,27,0.595744681,0.259259259,1,0.041176471,7,27,0.85106383
1000,4,9,0.44,0.7,0.064705882,11,25,0.622222222,0.2,1,0.029411765,5,25,0.888888889
1000,10,0,0.545454545,0.5,0.070588235,15,22,0.454545455,0.227272727,0.85,0.029411765,8,22,0.80952381
1000,10,1,0.473684211,0.5,0.052941176,14,19,0.512820513,0.210526316,0.75,0.023529412,9,19,0.769230769
1000,10,2,0.545454545,0.5,0.070588235,17,22,0.454545455,0.318181818,0.75,0.041176471,12,22,0.714285714
1000,10,3,0.565217391,0.5,0.076470588,16,23,0.434782609,0.260869565,0.85,0.035294118,9,23,0.790697674
1000,10,4,0.523809524,0.5,0.064705882,15,21,0.476190476,0.238095238,0.8,0.029411765,9,21,0.780487805
1000,10,5,0.5,0.5,0.058823529,14,20,0.5,0.2,0.8,0.023529412,8,20,0.8
1000,10,6,0.565217391,0.5,0.076470588,16,23,0.434782609,0.260869565,0.85,0.035294118,9,23,0.790697674
1000,10,7,0.523809524,0.5,0.064705882,15,21,0.476190476,0.238095238,0.8,0.029411765,9,21,0.780487805
1000,10,8,0.5,0.5,0.058823529,14,20,0.5,0.2,0.8,0.023529412,8,20,0.8
1000,10,9,0.565217391,0.5,0.076470588,16,23,0.434782609,0.260869565,0.85,0.035294118,9,23,0.790697674
